By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,BKN,36,29.2,18.1,6.0,12.7,47.1,2.1,5.7,37.3,4.1,5.2,78.6,0.5,2.0,2.5,5.3,2.2,0.6,0.3,2.8,29.5,1,0,-1.6
2017-18 ,BKN,80,28.8,12.6,4.1,10.5,38.7,1.8,5.4,32.6,2.7,3.4,81.3,0.5,2.7,3.2,6.6,1.6,0.9,0.3,2.3,28.1,7,0,-1.2
2016-17 ,BKN,59,22.6,7.3,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,0.5,2.3,2.8,3.1,1.1,0.7,0.4,2.0,17.6,0,0,-2.3
2015-16 ,DET,12,13.3,4.8,1.6,4.5,35.2,0.1,0.8,10.0,1.6,2.8,57.6,0.3,1.1,1.4,1.8,0.6,0.3,0.0,1.7,9.5,0,0,-4.7
2014-15 ,DET,34,13.4,4.3,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,3.1,1.0,0.6,0.2,1.6,11.8,1,0,-2.1
