By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,LAL,34,32.4,18.1,7.0,14.6,48.1,1.8,5.7,31.3,2.4,3.1,76.2,0.7,5.0,5.7,2.3,1.7,0.6,0.5,2.3,30.1,2,0,1.9
2017-18 ,LAL,77,31.2,16.1,6.1,13.5,45.0,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6
