By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,WAS,32,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8
2017-18 ,WAS,41,34.4,19.4,6.8,16.3,42.0,1.5,4.1,37.1,4.3,5.9,72.6,0.5,3.1,3.7,9.6,3.9,1.4,1.1,2.0,41.8,19,0,3.1
2016-17 ,WAS,78,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2.0,0.6,1.9,47.9,50,0,3.2
2015-16 ,WAS,77,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,45.0,49,4,1.3
2014-15 ,WAS,79,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30.0,3.6,4.6,78.5,0.5,4.2,4.6,10.0,3.8,1.7,0.6,2.3,41.3,40,0,3.5
2013-14 ,WAS,82,36.3,19.3,7.1,16.3,43.3,1.3,3.8,35.1,3.9,4.8,80.5,0.5,3.6,4.1,8.8,3.6,1.8,0.5,2.7,40.7,29,2,2.4
2012-13 ,WAS,49,32.7,18.5,6.6,15.0,44.1,0.2,0.9,26.7,5.0,6.2,80.4,0.7,3.3,4.0,7.6,3.2,1.3,0.8,2.4,37.7,14,0,0.9
2011-12 ,WAS,66,36.2,16.3,5.7,13.5,42.3,0.0,0.6,7.1,4.8,6.1,78.9,0.7,3.8,4.5,8.0,3.9,1.4,0.9,2.1,36.8,16,0,-3.9
2010-11 ,WAS,69,37.8,16.4,5.8,14.1,40.9,0.5,1.7,29.6,4.4,5.7,76.6,0.5,4.1,4.6,8.3,3.8,1.8,0.5,2.5,37.4,26,1,-6.4
