By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,PHX,29,30.9,18.5,7.1,14.2,50.1,1.9,4.2,43.9,2.4,3.0,82.6,0.8,3.4,4.2,1.4,1.1,1.0,0.8,2.8,30.0,0,0,-3.3
2017-18 ,PHX,65,33.0,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3.0,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1.0,0.6,2.3,31.2,6,0,-6.6
2016-17 ,PHX,66,31.0,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,26.6,5,0,-4.3
2015-16 ,PHX,47,22.8,11.0,4.7,9.4,50.1,0.6,1.5,40.0,1.0,1.4,70.3,1.2,1.9,3.1,0.9,0.7,0.8,0.3,2.0,18.8,1,0,-2.4
2014-15 ,PHX,40,15.4,6.1,2.8,5.4,52.8,0.1,0.5,23.8,0.4,0.5,73.7,1.0,1.1,2.1,0.6,0.7,0.5,0.2,1.3,11.0,0,0,-2.4
