By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,TOR,27,35.0,26.9,9.4,19.0,49.7,1.8,4.8,37.7,6.2,7.2,85.6,1.3,7.0,8.4,3.1,2.1,1.8,0.6,1.6,46.6,9,0,6.4
2017-18 ,SAS,9,23.3,16.2,5.8,12.3,46.8,1.2,3.9,31.4,3.4,4.2,81.6,0.7,4.0,4.7,2.3,1.8,2.0,1.0,1.0,32.5,0,0,1.9
2016-17 ,SAS,74,33.4,25.5,8.6,17.7,48.5,2.0,5.2,38.0,6.3,7.2,88.0,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9,0,5.9
2015-16 ,SAS,72,33.0,21.2,7.7,15.1,50.6,1.8,4.0,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,40.1,12,0,9.1
2014-15 ,SAS,64,31.8,16.5,6.2,12.8,47.9,1.0,3.0,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2.0,36.6,14,0,6.9
2013-14 ,SAS,66,29.1,12.8,5.1,9.8,52.2,1.0,2.8,37.9,1.5,1.9,80.2,1.2,5.1,6.2,2.0,1.2,1.7,0.8,1.9,29.5,7,0,5.7
2012-13 ,SAS,58,31.2,11.9,4.5,9.1,49.4,1.1,3.0,37.4,1.8,2.2,82.5,1.1,4.9,6.0,1.6,1.1,1.7,0.6,1.7,27.0,6,0,6.2
2011-12 ,SAS,64,24.0,7.9,3.1,6.3,49.3,0.6,1.7,37.6,1.1,1.4,77.3,1.6,3.5,5.1,1.1,0.7,1.3,0.4,1.4,20.1,4,0,2.0
