By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,BKN,36,29.1,17.5,6.9,16.6,41.4,2.4,6.7,35.8,1.4,1.8,76.9,0.5,3.3,3.8,6.2,2.9,1.2,0.3,1.7,32.7,2,0,-1.2
2017-18 ,BKN,48,25.7,15.5,5.8,14.0,41.4,1.9,5.8,32.4,2.0,2.7,74.0,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8
2016-17 ,LAL,63,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,29.2,2,0,-5.7
2015-16 ,LAL,80,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8
