By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,UTA,31,32.4,20.2,7.5,18.4,40.7,1.9,6.6,29.1,3.3,4.2,78.5,0.5,3.0,3.5,3.4,2.7,1.7,0.3,2.7,32.7,0,0,1.6
2017-18 ,UTA,79,33.4,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5
