By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,IND,24,32.9,20.0,7.3,17.0,43.2,2.3,6.4,35.1,3.1,4.3,72.8,0.5,5.9,6.4,5.3,2.5,1.7,0.4,1.9,39.5,5,0,3.6
2017-18 ,IND,75,34.0,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,0.6,4.6,5.2,4.3,2.9,2.4,0.8,2.3,42.3,3,0,4.5
2016-17 ,OKC,67,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,27.7,3,0,2.6
2015-16 ,ORL,72,33.0,16.0,5.9,13.5,43.8,1.4,3.9,34.8,2.8,3.4,83.0,0.7,4.1,4.8,3.9,2.1,1.6,0.8,2.4,32.6,3,1,-0.3
2014-15 ,ORL,72,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,32.1,3,0,-4.2
2013-14 ,ORL,80,31.1,13.8,4.9,11.7,41.9,0.9,2.8,32.7,3.1,4.0,78.0,0.5,3.6,4.1,4.1,3.2,1.6,0.5,2.6,27.9,7,1,-3.4
