Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Leicester,EPL,10(3),939,5,1,-,1,2.2,57.6,2.2,1,6.69
2017/2018,Leicester,EPL,37,3258,20,1,3,-,1.9,60.5,2.1,-,6.98
2016/2017,Leicester,UCL,9,772,2,-,2,-,1.8,61,2.4,-,6.87
2016/2017,Leicester,EPL,33(2),2810,13,5,2,1,1.5,62.5,2.6,3,6.83
2018,England,WC,1(3),157,-,-,-,-,0.5,65,1.5,-,6.17
2015/2016,Leicester,EPL,36,3140,24,6,5,1,3.2,65.8,2.6,3,7.51
2014/2015,Leicester,EPL,26(8),2247,5,8,5,-,1.4,64.3,1.9,2,6.80
2016,England,UEC,1(2),166,1,-,-,-,1.7,69.2,1.7,-,6.61
2013/2014,Leicester,EC,36(1),2924,16,4,8,-,2.2,68.6,1.6,3,7.15
