By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,CHI,29,35.0,100.2,109.1,-8.8,24.9,1.20,15.8,1.2,11.7,6.5,13.1,50.1,56.1,30.9,100.18,13.1
2017-18 ,CHI,24,27.3,101.6,113.9,-12.3,18.7,1.67,14.0,1.3,13.8,7.1,8.3,44.2,49.9,28.7,101.15,9.2
2016-17 ,MIN,47,37.2,107.9,110.7,-2.8,12.8,1.64,14.0,1.1,8.7,4.8,8.6,54.4,57.6,21.4,95.54,9.5
2015-16 ,MIN,82,28.0,103.6,109.9,-6.2,18.7,1.62,17.3,1.2,8.9,5.1,10.7,51.6,54.8,22.7,99.00,9.1
2014-15 ,MIN,77,24.7,97.5,111.6,-14.1,25.0,1.43,22.6,1.4,10.3,5.8,15.8,46.5,51.5,21.7,97.12,7.9
