By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,BKN,36,29.2,107.6,110.3,-2.7,30.5,2.38,23.6,1.6,6.9,4.2,9.9,55.5,60.7,24.3,101.65,12.6
2017-18 ,BKN,80,28.8,106.2,107.9,-1.7,34.9,4.09,32.8,1.6,9.4,5.4,8.0,47.1,52.7,19.9,100.00,10.8
2016-17 ,BKN,59,22.6,100.9,106.0,-5.1,21.0,2.80,29.9,2.0,9.7,5.9,10.7,50.7,58.1,13.9,101.58,8.7
2015-16 ,DET,12,13.3,81.4,100.6,-19.3,29.7,3.14,22.4,2.1,8.3,4.9,7.1,36.1,42.3,20.4,96.16,5.6
2014-15 ,DET,34,13.4,94.4,101.9,-7.5,39.4,3.15,32.4,0.8,10.0,5.0,10.3,33.7,39.4,20.6,95.31,7.4
