By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,PHX,25,36.2,108.5,112.3,-3.9,31.8,1.76,21.0,1.8,9.1,5.5,11.9,50.9,55.8,31.0,100.80,11.9
2017-18 ,PHX,54,34.5,102.3,111.3,-9.0,23.3,1.30,15.5,1.3,11.2,6.2,11.9,50.1,56.1,29.9,104.37,12.3
2016-17 ,PHX,78,35.0,107.3,111.0,-3.7,16.0,1.11,12.6,1.6,7.3,4.4,11.3,47.5,53.1,27.9,102.31,8.9
2015-16 ,PHX,76,27.7,99.9,108.3,-8.4,16.2,1.25,15.0,1.2,7.5,4.3,12.0,48.0,53.5,22.7,100.16,7.4
