By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,BKN,14,29.7,110.0,112.4,-2.3,19.7,1.73,16.8,3.1,10.2,6.7,9.7,52.2,55.7,26.0,100.35,11.9
2017-18 ,BKN,71,26.2,100.7,107.3,-6.6,26.5,1.95,23.7,2.6,10.4,6.5,12.1,49.3,52.5,21.4,103.29,9.9
2016-17 ,BKN,57,21.7,103.8,107.2,-3.4,13.2,1.86,18.6,1.8,12.4,7.1,10.0,52.8,55.6,16.0,105.29,8.6
