By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,PHX,29,30.9,107.3,112.2,-4.9,7.1,1.24,7.9,2.7,11.1,6.8,6.4,56.7,59.8,22.5,101.72,10.7
2017-18 ,PHX,65,33.0,102.5,111.8,-9.2,6.9,1.00,6.3,5.5,9.3,7.4,6.3,50.7,54.1,24.2,102.30,10.7
2016-17 ,PHX,66,31.0,106.6,113.1,-6.5,5.6,1.32,7.4,5.7,10.3,7.9,5.6,51.1,53.9,18.7,102.49,9.1
2015-16 ,PHX,47,22.8,102.3,106.3,-4.0,6.8,1.38,8.1,5.0,8.8,6.8,5.9,53.3,54.9,19.5,101.37,9.2
2014-15 ,PHX,40,15.4,96.3,104.3,-8.0,6.9,0.93,9.2,6.1,7.1,6.6,9.9,54.0,55.1,17.2,98.52,8.4
