By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,NOP,34,28.2,110.7,109.4,1.3,15.0,1.07,12.8,7.5,22.9,15.3,11.9,56.6,60.8,26.2,105.22,14.8
2017-18 ,LAL,82,26.7,106.0,107.5,-1.5,15.8,0.99,13.9,8.2,20.2,14.4,14.1,56.3,60.6,24.8,102.15,13.5
2016-17 ,LAL,74,28.8,103.5,113.2,-9.7,19.5,1.53,19.8,6.6,23.1,14.5,13.0,49.9,54.3,21.1,100.78,11.3
2015-16 ,LAL,81,28.2,98.5,112.4,-13.9,11.1,0.97,11.6,6.9,29.2,17.4,12.0,43.5,48.2,20.8,97.99,11.0
2014-15 ,LAL,1,13.6,57.7,126.9,-69.2,0.0,0.00,0.0,0.0,0.0,0.0,20.0,33.3,25.8,16.7,91.99,-24.2
