By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,UTA,31,32.4,104.3,102.3,2.0,17.5,1.24,12.8,1.5,8.8,5.2,10.4,46.0,49.9,29.3,103.24,9.4
2017-18 ,UTA,79,33.4,107.6,100.9,6.7,18.9,1.35,14.6,2.0,9.3,5.7,10.8,50.6,54.1,28.1,98.24,10.9
