By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,MIL,31,33.9,111.2,100.0,11.1,28.8,1.38,19.1,7.2,27.1,17.5,13.8,59.3,63.1,29.7,105.80,20.5
2017-18 ,MIL,75,36.7,108.7,105.7,3.1,23.7,1.62,15.9,6.0,21.8,14.1,9.8,54.5,59.8,30.6,98.30,18.6
2016-17 ,MIL,80,35.6,108.0,107.0,1.0,26.9,1.85,19.7,5.2,19.9,12.7,10.6,54.1,59.9,27.9,95.72,17.6
2015-16 ,MIL,80,35.3,104.5,107.4,-2.9,19.5,1.66,19.7,4.2,18.0,11.2,11.9,52.0,56.6,22.0,96.04,12.8
2014-15 ,MIL,81,31.4,100.9,100.6,0.3,13.3,1.20,15.8,4.1,17.7,11.0,13.2,49.6,55.2,19.2,95.55,11.1
2013-14 ,MIL,77,24.6,103.4,107.3,-4.0,12.0,1.23,19.1,4.2,14.0,9.1,15.6,46.3,51.8,14.7,94.86,7.3
