By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,SAC,34,31.8,110.4,108.3,2.2,32.8,2.48,28.5,1.5,8.6,5.1,11.5,52.1,56.8,24.0,106.81,12.4
2017-18 ,SAC,73,27.7,101.0,111.1,-10.1,24.0,1.85,23.3,1.6,8.7,5.0,12.6,44.1,47.8,22.6,98.71,7.4
