By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,ATL,17,28.9,106.7,107.8,-1.1,12.8,0.95,12.0,11.5,21.9,16.7,12.6,60.6,62.6,23.5,107.36,14.0
2017-18 ,ATL,74,24.1,99.8,106.0,-6.2,9.0,0.93,11.9,9.4,20.1,14.7,12.7,59.1,62.0,17.2,101.06,11.9
