By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,LAL,34,32.4,109.1,106.2,2.9,10.1,1.33,11.4,2.1,13.8,8.2,8.6,54.2,57.0,22.2,104.79,10.7
2017-18 ,LAL,77,31.2,104.6,107.0,-2.4,9.1,1.01,10.0,3.5,15.4,9.5,10.0,52.7,54.9,21.8,102.35,10.4
