By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,PHI,34,33.9,109.3,102.2,7.1,17.5,1.02,11.8,6.9,28.3,18.2,11.6,51.3,58.9,31.4,104.74,19.3
2017-18 ,PHI,63,30.4,109.1,96.8,12.3,18.2,0.85,11.7,7.8,25.5,17.3,13.8,51.4,57.3,32.6,102.93,17.7
2016-17 ,PHI,31,25.4,101.7,97.1,4.6,17.4,0.56,9.1,8.0,21.8,15.2,16.2,50.8,58.4,35.2,101.64,17.4
